generation_time,project,bug_id,test_id,coverage
30,Cli,34,4,95.65
30,Cli,35,0,100.0
30,Cli,35,1,100.0
30,Cli,35,2,100.0
30,Cli,35,3,100.0
30,Cli,35,4,100.0
30,Cli,36,0,100.0
30,Cli,36,1,100.0
30,Cli,36,2,100.0
30,Cli,36,3,91.67
30,Cli,36,4,100.0
30,Cli,37,0,38.61
30,Cli,37,1,48.1
30,Cli,37,2,37.34
30,Cli,37,3,35.44
30,Cli,37,4,36.71
30,Cli,38,0,43.9
30,Cli,38,1,40.85
30,Cli,38,2,39.02
30,Cli,38,3,35.98
30,Cli,38,4,35.98
30,Cli,39,0,65.0
30,Cli,39,1,65.0
30,Cli,39,2,65.0
30,Cli,39,3,65.0
30,Cli,39,4,65.0
30,Cli,40,0,65.0
30,Cli,40,1,65.0
30,Cli,40,2,65.0
30,Cli,40,3,65.0
30,Cli,40,4,65.0
30,Closure,1,0,6.97
30,Closure,1,1,0.0
30,Closure,1,2,0.35
30,Closure,1,3,0.0
30,Closure,1,4,0.0
30,Closure,2,0,0.0
30,Closure,2,1,0.0
30,Closure,2,2,0.0
30,Closure,2,3,0.0
30,Closure,2,4,0.0
30,Closure,3,0,0.0
30,Closure,3,1,0.76
30,Closure,3,2,0.76
30,Closure,3,3,0.76
30,Closure,3,4,0.76
30,Closure,4,0,52.33
30,Closure,4,1,48.84
30,Closure,4,2,51.16
30,Closure,4,3,32.56
30,Closure,4,4,45.35
30,Closure,5,0,0.0
30,Closure,5,1,0.0
30,Closure,5,2,0.0
30,Closure,5,3,0.0
30,Closure,5,4,0.0
30,Closure,6,0,1.96
30,Closure,6,1,0.98
30,Closure,6,2,0.0
30,Closure,6,3,0.98
30,Closure,6,4,0.49
30,Closure,7,0,56.84
30,Closure,7,1,48.42
30,Closure,7,2,51.58
30,Closure,7,3,68.42
30,Closure,7,4,46.32
30,Closure,8,0,11.11
30,Closure,8,1,12.96
30,Closure,8,2,5.56
30,Closure,8,3,5.56
30,Closure,8,4,5.56
30,Closure,9,0,50.0
30,Closure,9,1,59.52
30,Closure,9,2,26.19
30,Closure,9,3,26.19
30,Closure,9,4,61.9
30,Closure,10,0,8.17
30,Closure,10,1,9.82
30,Closure,10,2,11.58
30,Closure,10,3,13.33
30,Closure,10,4,13.42
30,Closure,11,0,0.0
30,Closure,11,1,0.0
30,Closure,11,2,4.59
30,Closure,11,3,0.0
30,Closure,11,4,0.0
30,Closure,12,0,5.77
30,Closure,12,1,5.77
30,Closure,12,2,19.23
30,Closure,12,3,5.77
30,Closure,12,4,5.77
30,Closure,13,0,72.5
30,Closure,13,1,82.5
30,Closure,13,2,65.0
30,Closure,13,3,72.5
30,Closure,13,4,47.5
30,Closure,14,0,37.32
30,Closure,14,1,35.51
30,Closure,14,2,32.97
30,Closure,14,3,38.77
30,Closure,14,4,32.97
30,Closure,15,0,0.83
30,Closure,15,1,0.83
30,Closure,15,2,0.83
30,Closure,15,3,0.83
30,Closure,15,4,0.83
30,Closure,16,0,12.9
30,Closure,16,1,14.52
30,Closure,16,2,12.9
30,Closure,16,3,14.52
30,Closure,16,4,14.52
30,Closure,17,0,0.0
30,Closure,17,1,12.01
30,Closure,17,2,13.02
30,Closure,17,3,7.53
30,Closure,17,4,0.0
30,Closure,18,0,13.53
30,Closure,18,1,13.29
30,Closure,18,2,32.13
30,Closure,18,3,30.19
30,Closure,18,4,9.42
30,Closure,19,0,45.26
30,Closure,19,1,51.58
30,Closure,19,2,50.53
30,Closure,19,3,52.63
30,Closure,19,4,50.53
30,Closure,20,0,8.3
30,Closure,20,1,8.3
30,Closure,20,2,7.92
30,Closure,20,3,13.4
30,Closure,20,4,9.25
30,Closure,21,0,55.26
30,Closure,21,1,47.37
30,Closure,21,2,55.26
30,Closure,21,3,63.16
30,Closure,21,4,55.26
30,Closure,22,0,60.53
30,Closure,22,1,65.79
30,Closure,22,2,63.16
30,Closure,22,3,36.84
30,Closure,22,4,60.53
30,Closure,23,0,6.24
30,Closure,23,1,4.95
30,Closure,23,2,3.67
30,Closure,23,3,5.5
30,Closure,23,4,6.42
30,Closure,24,0,15.74
30,Closure,24,1,15.74
30,Closure,24,2,13.89
30,Closure,24,3,13.89
30,Closure,24,4,13.89
30,Closure,25,0,2.49
30,Closure,25,1,0.5
30,Closure,25,2,0.5
30,Closure,25,3,0.5
30,Closure,25,4,0.5
30,Closure,26,0,64.29
30,Closure,26,1,64.29
30,Closure,26,2,64.29
30,Closure,26,3,66.67
30,Closure,26,4,54.76
30,Closure,27,0,78.33
30,Closure,27,1,80.0
30,Closure,27,2,76.67
30,Closure,27,3,78.33
30,Closure,27,4,75.0
30,Closure,28,0,100.0
30,Closure,28,1,100.0
30,Closure,28,2,100.0
30,Closure,28,3,100.0
30,Closure,28,4,100.0
30,Closure,29,0,0.0
30,Closure,29,1,0.0
30,Closure,29,2,0.0
30,Closure,29,3,0.0
30,Closure,29,4,0.0
30,Closure,30,0,2.23
30,Closure,30,1,2.23
30,Closure,30,2,2.23
30,Closure,30,3,2.68
30,Closure,30,4,2.23
30,Closure,31,0,32.41
30,Closure,31,1,17.59
30,Closure,31,2,11.81
30,Closure,31,3,32.16
30,Closure,31,4,28.64
30,Closure,32,0,19.97
30,Closure,32,1,13.69
30,Closure,32,2,17.23
30,Closure,32,3,14.49
30,Closure,32,4,16.26
30,Closure,33,0,55.49
30,Closure,33,1,69.78
30,Closure,33,2,56.04
30,Closure,33,3,67.58
30,Closure,33,4,66.48
30,Closure,34,0,19.41
30,Closure,34,1,22.01
30,Closure,34,2,20.62
30,Closure,34,3,19.06
30,Closure,34,4,17.68
30,Closure,35,0,0.49
30,Closure,35,1,0.49
30,Closure,35,2,0.49
30,Closure,35,3,2.43
30,Closure,35,4,0.49
30,Closure,36,0,1.28
30,Closure,36,1,1.28
30,Closure,36,2,1.28
30,Closure,36,3,1.28
30,Closure,36,4,1.28
30,Closure,37,0,14.99
30,Closure,37,1,10.34
30,Closure,37,2,13.44
30,Closure,37,3,14.99
30,Closure,37,4,13.44
30,Closure,38,0,13.64
30,Closure,38,1,13.64
30,Closure,38,2,13.64
30,Closure,38,3,13.64
30,Closure,38,4,13.64
30,Closure,39,0,57.56
30,Closure,39,1,61.05
30,Closure,39,2,61.63
30,Closure,39,3,54.07
30,Closure,39,4,66.86
30,Closure,40,0,26.04
30,Closure,40,1,20.51
30,Closure,40,2,19.82
30,Closure,40,3,15.67
30,Closure,40,4,21.66
30,Closure,41,0,30.24
30,Closure,41,1,31.05
30,Closure,41,2,31.45
30,Closure,41,3,25.4
30,Closure,41,4,36.29
30,Closure,42,0,7.12
30,Closure,42,1,12.46
30,Closure,42,2,8.9
30,Closure,42,3,8.54
30,Closure,42,4,8.19
30,Closure,43,0,5.3
30,Closure,43,1,12.56
30,Closure,43,2,7.72
30,Closure,43,3,0.0
30,Closure,43,4,0.0
30,Closure,44,0,14.06
30,Closure,44,1,14.06
30,Closure,44,2,14.06
30,Closure,44,3,14.06
30,Closure,44,4,14.06
30,Closure,45,0,7.77
30,Closure,45,1,8.48
30,Closure,45,2,7.07
30,Closure,45,3,8.48
30,Closure,45,4,5.3
30,Closure,46,0,75.0
30,Closure,46,1,72.22
30,Closure,46,2,73.61
30,Closure,46,3,75.0
30,Closure,46,4,75.0
30,Closure,47,0,1.81
30,Closure,47,1,1.81
30,Closure,47,2,1.81
30,Closure,47,3,1.81
30,Closure,47,4,1.81
30,Closure,48,0,0.0
30,Closure,48,1,0.0
30,Closure,48,2,9.49
30,Closure,48,3,0.0
30,Closure,48,4,0.0
30,Closure,49,0,24.76
30,Closure,49,1,36.19
30,Closure,49,2,38.1
30,Closure,49,3,40.0
30,Closure,49,4,31.43
30,Closure,50,0,0.4
30,Closure,50,1,3.95
30,Closure,50,2,0.4
30,Closure,50,3,4.35
30,Closure,50,4,3.95
30,Closure,51,0,15.0
30,Closure,51,1,15.0
30,Closure,51,2,15.0
30,Closure,51,3,15.0
30,Closure,51,4,15.0
30,Closure,52,0,14.13
30,Closure,52,1,14.13
30,Closure,52,2,14.79
30,Closure,52,3,15.67
30,Closure,52,4,15.01
30,Closure,53,0,0.0
30,Closure,53,1,0.0
30,Closure,53,2,0.0
30,Closure,53,3,0.0
30,Closure,53,4,0.0
30,Closure,54,0,8.84
30,Closure,54,1,24.56
30,Closure,54,2,14.19
30,Closure,54,3,15.28
30,Closure,54,4,15.17
30,Closure,55,0,14.63
30,Closure,55,1,60.98
30,Closure,55,2,14.63
30,Closure,55,3,43.9
30,Closure,55,4,14.63
30,Closure,56,0,94.0
30,Closure,56,1,96.0
30,Closure,56,2,100.0
30,Closure,56,3,94.0
30,Closure,56,4,92.0
30,Closure,57,0,18.63
30,Closure,57,1,15.69
30,Closure,57,2,15.69
30,Closure,57,3,15.69
30,Closure,57,4,23.53
30,Closure,58,0,0.0
30,Closure,58,1,0.0
30,Closure,58,2,0.0
30,Closure,58,3,0.0
30,Closure,58,4,0.0
30,Closure,59,0,27.41
30,Closure,59,1,20.48
30,Closure,59,2,21.08
30,Closure,59,3,29.22
30,Closure,59,4,22.59
30,Closure,60,0,16.81
30,Closure,60,1,19.29
30,Closure,60,2,21.01
30,Closure,60,3,17.13
30,Closure,60,4,11.53
30,Closure,61,0,22.4
30,Closure,61,1,19.16
30,Closure,61,2,18.51
30,Closure,61,3,19.37
30,Closure,61,4,15.8
30,Closure,62,0,65.62
30,Closure,62,1,65.62
30,Closure,62,2,53.12
30,Closure,62,3,65.62
30,Closure,62,4,65.62
30,Closure,64,0,20.37
30,Closure,64,1,14.81
30,Closure,64,2,16.05
30,Closure,64,3,16.67
30,Closure,64,4,27.16
30,Closure,65,0,13.08
30,Closure,65,1,14.41
