initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Cli,17,0,60,40.48
RD,30,Cli,17,1,60,45.24
RD,30,Cli,17,2,60,40.48
RD,30,Cli,17,3,60,7.14
RD,30,Cli,17,4,60,38.1
RD,30,Cli,18,0,60,45.24
RD,30,Cli,18,1,60,45.24
RD,30,Cli,18,2,60,30.95
RD,30,Cli,18,3,60,42.86
RD,30,Cli,18,4,60,45.24
RD,30,Cli,19,0,60,42.86
RD,30,Cli,19,1,60,40.48
RD,30,Cli,19,2,60,45.24
RD,30,Cli,19,3,60,45.24
RD,30,Cli,19,4,60,38.1
RD,30,Cli,20,0,60,41.67
RD,30,Cli,20,1,60,33.33
RD,30,Cli,20,2,60,25.0
RD,30,Cli,20,3,60,35.42
RD,30,Cli,20,4,60,2.08
RD,30,Cli,21,0,60,28.06
RD,30,Cli,21,1,60,17.35
RD,30,Cli,21,2,60,32.65
RD,30,Cli,21,3,60,28.06
RD,30,Cli,21,4,60,39.29
RD,30,Cli,22,0,60,18.18
RD,30,Cli,22,1,60,34.09
RD,30,Cli,22,2,60,54.55
RD,30,Cli,22,3,60,43.18
RD,30,Cli,22,4,60,38.64
RD,30,Cli,23,0,60,60.91
RD,30,Cli,23,1,60,50.0
RD,30,Cli,23,2,60,45.45
RD,30,Cli,23,3,60,60.0
RD,30,Cli,23,4,60,62.73
RD,30,Cli,24,0,60,67.86
RD,30,Cli,24,1,60,73.21
RD,30,Cli,24,2,60,70.54
RD,30,Cli,24,3,60,68.75
RD,30,Cli,24,4,60,73.21
RD,30,Cli,25,0,60,69.64
RD,30,Cli,25,1,60,72.32
RD,30,Cli,25,2,60,60.71
RD,30,Cli,25,3,60,74.11
RD,30,Cli,25,4,60,70.54
RD,30,Cli,26,0,60,100.0
RD,30,Cli,26,1,60,75.0
RD,30,Cli,26,2,60,75.0
RD,30,Cli,26,3,60,75.0
RD,30,Cli,26,4,60,75.0
RD,30,Cli,27,0,60,33.33
RD,30,Cli,27,1,60,50.0
RD,30,Cli,27,2,60,50.0
RD,30,Cli,27,4,60,25.0
RD,30,Cli,28,0,60,23.53
RD,30,Cli,28,1,60,30.88
RD,30,Cli,28,2,60,32.35
RD,30,Cli,28,3,60,30.88
RD,30,Cli,28,4,60,27.94
RD,30,Cli,29,0,60,50.0
RD,30,Cli,29,1,60,50.0
RD,30,Cli,29,2,60,50.0
RD,30,Cli,29,3,60,50.0
RD,30,Cli,29,4,60,50.0
RD,30,Cli,30,0,60,10.68
RD,30,Cli,30,1,60,17.09
RD,30,Cli,30,2,60,6.84
RD,30,Cli,30,3,60,16.24
RD,30,Cli,30,4,60,17.52
RD,30,Cli,31,0,60,52.83
RD,30,Cli,31,1,60,60.85
RD,30,Cli,31,2,60,60.85
RD,30,Cli,31,3,60,51.89
RD,30,Cli,31,4,60,39.62
RD,30,Cli,32,0,60,36.84
RD,30,Cli,32,1,60,36.84
RD,30,Cli,32,2,60,37.72
RD,30,Cli,32,3,60,37.72
RD,30,Cli,32,4,60,36.84
RD,30,Cli,33,0,60,55.08
RD,30,Cli,33,1,60,62.71
RD,30,Cli,33,2,60,40.68
RD,30,Cli,33,3,60,64.41
RD,30,Cli,33,4,60,44.07
RD,30,Cli,34,0,60,38.04
RD,30,Cli,34,1,60,50.0
RD,30,Cli,34,2,60,45.65
RD,30,Cli,34,3,60,52.17
RD,30,Cli,34,4,60,56.52
RD,30,Cli,35,0,60,40.91
RD,30,Cli,35,1,60,36.36
RD,30,Cli,35,2,60,54.55
RD,30,Cli,35,3,60,36.36
RD,30,Cli,35,4,60,27.27
RD,30,Cli,36,0,60,75.0
RD,30,Cli,36,1,60,47.22
RD,30,Cli,36,2,60,38.89
RD,30,Cli,36,3,60,69.44
RD,30,Cli,36,4,60,58.33
RD,30,Cli,37,0,60,13.92
RD,30,Cli,37,1,60,14.56
RD,30,Cli,37,2,60,13.92
RD,30,Cli,37,3,60,14.56
RD,30,Cli,37,4,60,16.46
RD,30,Cli,38,0,60,12.2
RD,30,Cli,38,1,60,15.24
RD,30,Cli,38,2,60,14.02
RD,30,Cli,38,3,60,11.59
RD,30,Cli,38,4,60,10.37
RD,30,Cli,39,0,60,60.0
RD,30,Cli,39,1,60,25.0
RD,30,Cli,39,2,60,60.0
RD,30,Cli,39,3,60,55.0
RD,30,Cli,39,4,60,55.0
RD,30,Cli,40,0,60,60.0
RD,30,Cli,40,1,60,70.0
RD,30,Cli,40,2,60,65.0
RD,30,Cli,40,3,60,70.0
RD,30,Cli,40,4,60,70.0
RD,30,Closure,1,2,60,0.0
RD,30,Closure,2,0,60,0.0
RD,30,Closure,2,1,60,0.0
RD,30,Closure,2,2,60,0.0
RD,30,Closure,2,3,60,0.0
RD,30,Closure,3,1,60,0.0
RD,30,Closure,3,2,60,0.0
RD,30,Closure,3,4,60,0.0
RD,30,Closure,4,1,60,0.0
RD,30,Closure,4,2,60,0.0
RD,30,Closure,4,3,60,2.33
RD,30,Closure,5,0,60,0.0
RD,30,Closure,6,0,60,0.0
RD,30,Closure,6,1,60,0.0
RD,30,Closure,6,3,60,0.0
RD,30,Closure,6,4,60,0.0
RD,30,Closure,7,2,60,0.0
RD,30,Closure,8,0,60,1.85
RD,30,Closure,8,4,60,0.0
RD,30,Closure,9,0,60,9.52
RD,30,Closure,9,1,60,23.81
RD,30,Closure,9,2,60,11.9
RD,30,Closure,9,3,60,4.76
RD,30,Closure,9,4,60,2.38
RD,30,Closure,10,0,60,5.25
RD,30,Closure,10,1,60,1.07
RD,30,Closure,10,2,60,10.51
RD,30,Closure,10,3,60,6.52
RD,30,Closure,10,4,60,9.14
RD,30,Closure,11,0,60,0.0
RD,30,Closure,11,2,60,0.0
RD,30,Closure,11,4,60,0.0
RD,30,Closure,12,0,60,0.0
RD,30,Closure,12,3,60,0.0
RD,30,Closure,12,4,60,0.0
RD,30,Closure,14,0,60,1.45
RD,30,Closure,14,1,60,2.54
RD,30,Closure,14,2,60,3.62
RD,30,Closure,14,3,60,0.36
RD,30,Closure,14,4,60,0.0
RD,30,Closure,15,1,60,0.0
RD,30,Closure,15,3,60,0.0
RD,30,Closure,16,0,60,0.0
RD,30,Closure,17,1,60,0.14
RD,30,Closure,17,3,60,0.0
RD,30,Closure,17,4,60,0.0
RD,30,Closure,18,0,60,14.25
RD,30,Closure,18,1,60,12.56
RD,30,Closure,18,2,60,18.84
RD,30,Closure,18,3,60,7.49
RD,30,Closure,18,4,60,0.0
RD,30,Closure,19,0,60,11.58
RD,30,Closure,19,4,60,3.16
RD,30,Closure,20,0,60,0.75
RD,30,Closure,20,1,60,0.0
RD,30,Closure,21,0,60,0.0
