generation_time,project,bug_id,test_id,coverage
30,Closure,82,3,24.05
30,Closure,82,4,31.01
30,Closure,83,1,18.92
30,Closure,83,3,0.0
30,Closure,83,4,13.89
30,Closure,84,1,0.0
30,Closure,84,3,4.92
30,Closure,85,0,0.0
30,Closure,85,1,0.0
30,Closure,85,2,5.45
30,Closure,85,4,0.0
30,Closure,86,0,5.26
30,Closure,86,1,11.91
30,Closure,86,2,9.14
30,Closure,86,3,9.14
30,Closure,86,4,11.36
30,Closure,87,1,0.31
30,Closure,87,2,0.31
30,Closure,87,3,0.31
30,Closure,87,4,0.31
30,Closure,88,4,0.0
30,Closure,89,0,0.0
30,Closure,89,1,1.91
30,Closure,89,3,0.0
30,Closure,89,4,0.57
30,Closure,90,1,10.88
30,Closure,90,2,6.3
30,Closure,90,3,5.92
30,Closure,90,4,10.88
30,Closure,91,0,5.41
30,Closure,91,3,6.76
30,Closure,92,0,1.16
30,Closure,92,2,1.16
30,Closure,94,0,9.67
30,Closure,94,1,9.21
30,Closure,94,2,14.8
30,Closure,94,3,12.54
30,Closure,94,4,10.12
30,Closure,95,0,0.0
30,Closure,95,1,0.0
30,Closure,95,3,0.0
30,Closure,95,4,0.0
30,Closure,96,0,0.0
30,Closure,96,1,0.46
30,Closure,96,2,0.0
30,Closure,96,3,0.0
30,Closure,96,4,0.0
30,Closure,97,2,0.0
30,Closure,98,2,0.0
30,Closure,98,3,2.8
30,Closure,99,2,3.23
30,Closure,99,3,0.0
30,Closure,99,4,3.23
30,Closure,100,0,0.0
30,Closure,100,3,3.57
30,Closure,101,1,13.64
30,Closure,101,2,13.64
30,Closure,101,3,13.64
30,Closure,101,4,8.7
30,Closure,102,2,0.0
30,Closure,103,0,0.19
30,Closure,103,2,4.41
30,Closure,103,3,3.26
30,Closure,103,4,0.57
30,Closure,104,0,2.42
30,Closure,104,1,3.23
30,Closure,104,2,7.26
30,Closure,104,3,0.0
30,Closure,104,4,4.84
30,Closure,105,0,0.0
30,Closure,105,1,0.0
30,Closure,105,3,0.0
30,Closure,105,4,0.27
30,Closure,106,0,3.45
30,Closure,106,1,0.46
30,Closure,106,2,0.46
30,Closure,106,3,6.67
30,Closure,106,4,0.0
30,Closure,107,0,0.0
30,Closure,107,1,15.71
30,Closure,107,4,0.0
30,Closure,108,0,0.0
30,Closure,108,1,9.21
30,Closure,108,2,0.0
30,Closure,109,1,0.14
30,Closure,109,3,0.14
30,Closure,110,0,22.77
30,Closure,110,1,23.06
30,Closure,110,2,20.93
30,Closure,110,3,18.67
30,Closure,110,4,23.62
30,Closure,111,0,0.0
30,Closure,111,3,2.08
30,Closure,112,0,0.0
30,Closure,112,2,0.0
30,Closure,113,0,0.92
30,Closure,113,3,0.0
30,Closure,113,4,3.07
30,Closure,115,2,0.0
30,Closure,116,0,0.0
30,Closure,116,1,0.0
30,Closure,116,4,0.0
30,Closure,117,1,0.0
30,Closure,117,3,0.0
30,Closure,118,1,0.0
30,Closure,118,2,0.0
30,Closure,118,4,0.0
30,Closure,119,0,1.45
30,Closure,119,1,0.29
30,Closure,119,2,0.87
30,Closure,120,2,0.0
30,Closure,120,4,0.0
30,Closure,121,1,0.0
30,Closure,121,4,0.0
30,Closure,123,0,3.3
30,Closure,123,1,1.03
30,Closure,123,2,1.03
30,Closure,123,3,0.0
30,Closure,123,4,1.24
30,Closure,124,0,0.0
30,Closure,124,1,0.0
30,Closure,124,4,0.0
30,Closure,125,0,0.0
30,Closure,125,1,0.0
30,Closure,125,3,0.0
30,Closure,125,4,0.0
30,Closure,126,0,0.0
30,Closure,126,4,0.0
30,Closure,127,1,0.0
30,Closure,127,2,0.0
30,Closure,127,3,0.0
30,Closure,128,0,1.25
30,Closure,128,1,1.25
30,Closure,128,2,1.67
30,Closure,128,3,2.51
30,Closure,128,4,1.46
30,Closure,129,0,9.43
30,Closure,129,3,5.66
30,Closure,130,0,0.0
30,Closure,130,2,2.26
30,Closure,131,0,0.59
30,Closure,131,1,4.73
30,Closure,131,2,4.73
30,Closure,131,3,0.0
30,Closure,131,4,5.92
30,Closure,132,2,0.56
30,Closure,132,3,0.19
30,Closure,133,0,3.97
30,Closure,133,1,3.97
30,Closure,133,3,5.34
30,Closure,133,4,2.14
30,Closure,134,1,0.0
30,Closure,134,2,0.0
30,Closure,134,3,0.0
30,Closure,134,4,0.0
30,Closure,135,0,4.01
30,Closure,135,1,4.01
30,Closure,135,2,4.32
30,Closure,135,3,3.4
30,Closure,135,4,3.4
30,Closure,136,0,2.86
30,Closure,136,1,0.0
30,Closure,136,2,0.0
30,Closure,136,3,2.86
30,Closure,136,4,1.43
30,Closure,137,0,9.02
30,Closure,137,1,12.02
30,Closure,137,2,5.6
30,Closure,137,3,5.46
30,Closure,137,4,10.52
30,Closure,138,2,0.0
30,Closure,138,3,0.0
30,Closure,140,0,0.0
30,Closure,140,1,4.1
30,Closure,140,2,0.41
30,Closure,140,3,11.48
30,Closure,140,4,3.28
30,Closure,141,0,5.45
30,Closure,141,1,7.82
30,Closure,141,2,8.8
30,Closure,141,3,7.26
30,Closure,141,4,7.4
30,Closure,142,0,3.13
30,Closure,142,1,0.0
30,Closure,142,4,0.0
30,Closure,143,0,3.74
30,Closure,143,1,0.93
30,Closure,143,2,3.74
30,Closure,143,3,0.93
30,Closure,143,4,1.87
30,Closure,144,0,3.34
30,Closure,144,1,5.82
30,Closure,144,2,6.57
30,Closure,144,3,4.85
30,Closure,144,4,5.17
30,Closure,145,0,5.24
30,Closure,145,1,8.38
30,Closure,145,2,6.02
30,Closure,145,3,5.76
30,Closure,145,4,4.45
30,Closure,146,0,41.8
30,Closure,146,1,23.77
30,Closure,146,2,17.21
30,Closure,146,3,22.13
30,Closure,146,4,17.21
30,Closure,147,0,0.68
30,Closure,147,1,2.05
30,Closure,147,2,0.0
30,Closure,147,3,0.68
30,Closure,148,0,0.0
30,Closure,148,2,0.0
30,Closure,148,4,0.0
30,Closure,149,0,1.75
30,Closure,149,1,7.01
30,Closure,149,2,3.33
30,Closure,149,3,2.45
30,Closure,149,4,2.63
30,Closure,150,2,0.0
30,Closure,151,1,25.0
30,Closure,151,2,13.89
30,Closure,151,3,19.44
30,Closure,152,0,26.06
30,Closure,152,1,13.38
30,Closure,152,2,22.18
30,Closure,152,3,23.59
30,Closure,152,4,11.62
30,Closure,153,0,0.43
30,Closure,153,1,0.87
30,Closure,153,2,0.0
30,Closure,153,3,0.87
30,Closure,153,4,0.0
30,Closure,154,0,0.0
30,Closure,154,1,0.0
30,Closure,154,3,0.0
30,Closure,155,0,0.0
30,Closure,155,1,0.0
30,Closure,155,2,0.67
30,Closure,155,3,1.11
30,Closure,155,4,0.0
30,Closure,156,0,0.0
30,Closure,156,1,0.0
30,Closure,156,3,2.05
30,Closure,157,0,0.0
30,Closure,157,4,0.0
30,Closure,158,0,2.42
30,Closure,158,1,1.81
30,Closure,158,2,4.83
30,Closure,158,3,0.0
30,Closure,158,4,1.51
30,Closure,159,0,0.75
30,Closure,159,1,0.38
30,Closure,159,2,0.38
30,Closure,159,3,0.38
30,Closure,160,0,5.0
30,Closure,160,1,7.19
30,Closure,160,2,0.0
30,Closure,160,4,4.06
30,Closure,162,0,0.0
30,Closure,162,1,0.0
30,Closure,162,2,0.0
30,Closure,162,3,1.09
30,Closure,162,4,7.07
30,Closure,163,1,0.0
30,Closure,163,4,4.02
30,Closure,164,0,10.0
30,Closure,164,1,9.0
30,Closure,164,3,6.0
30,Closure,164,4,2.0
30,Closure,165,0,12.46
30,Closure,165,1,15.82
30,Closure,165,2,17.51
30,Closure,165,3,12.46
30,Closure,165,4,1.01
30,Closure,166,0,13.3
30,Closure,166,1,14.89
30,Closure,166,2,29.26
30,Closure,166,3,1.06
30,Closure,166,4,18.62
30,Closure,167,0,5.67
30,Closure,167,1,5.15
30,Closure,167,2,10.82
30,Closure,167,3,5.41
30,Closure,167,4,7.22
30,Closure,168,2,0.0
30,Closure,168,3,0.0
30,Closure,168,4,0.0
30,Closure,169,0,8.5
30,Closure,169,1,8.7
30,Closure,169,2,11.2
30,Closure,169,3,9.9
30,Closure,169,4,7.0
30,Closure,171,0,0.08
30,Closure,171,1,0.0
30,Closure,171,2,0.08
30,Closure,171,3,0.0
30,Closure,172,0,0.0
30,Closure,172,1,0.0
30,Closure,172,2,0.0
30,Closure,172,4,0.0
30,Closure,173,0,3.79
30,Closure,173,1,1.17
30,Closure,173,2,0.15
30,Closure,173,3,2.48
30,Closure,173,4,4.37
30,Closure,174,0,6.87
30,Closure,174,1,5.35
30,Closure,174,2,7.19
30,Closure,174,3,3.75
30,Closure,174,4,3.19
30,Closure,175,3,0.0
30,Closure,175,4,0.0
30,Closure,176,3,0.0
30,Codec,1,0,60.33
30,Codec,1,1,48.91
30,Codec,1,2,53.8
30,Codec,1,3,59.24
30,Codec,1,4,61.41
30,Codec,2,0,82.43
30,Codec,2,1,78.38
30,Codec,2,2,86.49
30,Codec,2,3,81.08
30,Codec,2,4,84.46
30,Codec,3,0,30.89
30,Codec,3,1,33.78
30,Codec,3,2,32.22
30,Codec,3,3,33.11
30,Codec,3,4,32.89
30,Codec,4,0,82.91
30,Codec,4,1,89.24
30,Codec,4,2,91.77
30,Codec,4,3,87.97
30,Codec,4,4,84.81
30,Codec,5,0,87.04
30,Codec,5,1,87.65
30,Codec,5,2,91.98
30,Codec,5,3,94.44
30,Codec,5,4,82.72
30,Codec,6,0,43.33
30,Codec,6,1,46.67
30,Codec,6,2,40.0
30,Codec,6,3,40.0
30,Codec,6,4,46.67
30,Codec,7,0,87.65
30,Codec,7,1,92.59
30,Codec,7,2,85.8
30,Codec,7,3,85.19
30,Codec,7,4,89.51
30,Codec,8,0,78.09
30,Codec,8,1,78.09
30,Codec,8,2,81.46
30,Codec,8,3,79.21
30,Codec,8,4,66.29
30,Codec,9,0,82.47
30,Codec,9,1,82.47
30,Codec,9,2,85.71
30,Codec,9,3,83.77
30,Codec,9,4,86.36
30,Codec,10,0,83.33
30,Codec,10,1,83.33
30,Codec,10,2,83.33
30,Codec,10,3,83.33
30,Codec,10,4,83.33
30,Codec,11,0,77.14
30,Codec,11,1,72.86
30,Codec,11,2,80.0
30,Codec,11,3,78.57
30,Codec,11,4,84.29
30,Codec,12,0,47.22
30,Codec,12,1,50.0
30,Codec,12,2,44.44
30,Codec,12,3,55.56
30,Codec,12,4,50.0
30,Codec,13,0,32.78
30,Codec,13,1,20.33
30,Codec,13,2,21.99
30,Codec,13,3,32.37
30,Codec,13,4,30.08
30,Codec,15,0,75.0
30,Codec,15,1,78.12
30,Codec,15,2,78.12
30,Codec,15,3,75.0
30,Codec,15,4,78.12
30,Codec,16,0,76.0
30,Codec,16,1,74.67
30,Codec,16,2,65.33
30,Codec,16,3,82.67
30,Codec,16,4,65.33
30,Codec,17,0,75.0
30,Codec,17,1,75.0
30,Codec,17,2,75.0
30,Codec,17,3,75.0
30,Codec,17,4,75.0
30,Codec,18,0,62.5
30,Codec,18,1,62.5
