initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Closure,37,4,60,2.34
RD,30,Closure,38,0,60,23.44
RD,30,Closure,38,1,60,7.81
RD,30,Closure,38,2,60,4.69
RD,30,Closure,38,3,60,1.56
RD,30,Closure,38,4,60,4.69
RD,30,Closure,39,0,60,27.98
RD,30,Closure,39,1,60,33.33
RD,30,Closure,39,2,60,30.95
RD,30,Closure,39,3,60,35.12
RD,30,Closure,39,4,60,14.29
RD,30,Closure,40,0,60,5.5
RD,30,Closure,40,1,60,5.96
RD,30,Closure,40,4,60,0.23
RD,30,Closure,41,0,60,0.83
RD,30,Closure,41,1,60,0.83
RD,30,Closure,41,2,60,0.0
RD,30,Closure,41,3,60,0.0
RD,30,Closure,42,0,60,1.08
RD,30,Closure,42,2,60,0.72
RD,30,Closure,42,3,60,1.43
RD,30,Closure,42,4,60,0.36
RD,30,Closure,43,0,60,0.0
RD,30,Closure,43,1,60,0.0
RD,30,Closure,43,2,60,0.0
RD,30,Closure,43,3,60,0.0
RD,30,Closure,43,4,60,0.0
RD,30,Closure,44,0,60,23.33
RD,30,Closure,44,1,60,6.67
RD,30,Closure,44,2,60,13.33
RD,30,Closure,44,4,60,38.33
RD,30,Closure,45,1,60,0.0
RD,30,Closure,45,2,60,0.0
RD,30,Closure,46,0,60,0.0
RD,30,Closure,46,1,60,0.0
RD,30,Closure,46,2,60,0.0
RD,30,Closure,46,4,60,0.0
RD,30,Closure,47,0,60,0.0
RD,30,Closure,47,2,60,0.0
RD,30,Closure,47,3,60,0.62
RD,30,Closure,47,4,60,0.62
RD,30,Closure,48,0,60,0.0
RD,30,Closure,48,1,60,0.0
RD,30,Closure,48,2,60,0.0
RD,30,Closure,48,4,60,0.0
RD,30,Closure,49,0,60,13.33
RD,30,Closure,49,1,60,0.0
RD,30,Closure,49,3,60,0.0
RD,30,Closure,49,4,60,13.33
RD,30,Closure,50,1,60,0.0
RD,30,Closure,50,2,60,0.0
RD,30,Closure,50,3,60,0.0
RD,30,Closure,50,4,60,0.41
RD,30,Closure,51,0,60,7.41
RD,30,Closure,51,1,60,33.33
RD,30,Closure,51,2,60,12.96
RD,30,Closure,51,3,60,7.41
RD,30,Closure,51,4,60,5.56
RD,30,Closure,52,0,60,5.54
RD,30,Closure,52,1,60,4.88
RD,30,Closure,52,2,60,6.21
RD,30,Closure,52,3,60,9.98
RD,30,Closure,52,4,60,8.65
RD,30,Closure,53,0,60,0.0
RD,30,Closure,53,1,60,0.0
RD,30,Closure,53,2,60,0.0
RD,30,Closure,53,3,60,0.0
RD,30,Closure,53,4,60,0.0
RD,30,Closure,54,0,60,7.14
RD,30,Closure,54,1,60,7.36
RD,30,Closure,54,2,60,5.6
RD,30,Closure,54,3,60,4.73
RD,30,Closure,54,4,60,4.51
RD,30,Closure,55,0,60,0.0
